rule,support,confidence,lift
Morning peak -> Severe congestion,0.1003175130221844,0.584946757018393,2.341682261397799
Midday -> High congestion,0.14271484010210223,0.5834888851179365,2.3325517593477687
Night -> Low congestion,0.2364330628592774,0.5618958374432828,2.2475367078010677
Evening peak -> High congestion,0.07545603586029427,0.46253657295509476,1.8490335026536544
Night -> Medium congestion,0.17537925166538693,0.41679818504636024,1.6668814128001463
Midday -> Severe congestion,0.09070911241621184,0.3708637366366876,1.4846565487506909
Evening peak -> Severe congestion,0.05875028534667026,0.3601322986897341,1.4416960269969443
Morning peak -> Medium congestion,0.035362234627596655,0.20619554695062922,0.8246281700481344
Evening peak -> Medium congestion,0.02857617199659659,0.17516855361913242,0.7005433723333998
Morning peak -> High congestion,0.023035258472202048,0.13431752178121975,0.5369469406065734
